Session,Electrode,Tactilo,Mean Amplitude,Condition,Dates
13,Fc2,6,2.8595196157138867,Target,01.12.2020
13,C3,6,3.3324673902454816,Target,01.12.2020
13,Cz,6,3.212089840006511,Target,01.12.2020
13,C4,6,2.263412718147548,Target,01.12.2020
13,Pz,6,0.9884627295505796,Target,01.12.2020
13,Fz,1,-1.039470405808809,nonTarget,01.12.2020
13,Fc1,1,-1.2391783298479906,nonTarget,01.12.2020
13,Fc2,1,-0.9126986100010024,nonTarget,01.12.2020
13,C3,1,-1.6117220449738872,nonTarget,01.12.2020
13,Cz,1,-1.1989163492426045,nonTarget,01.12.2020
13,C4,1,-0.6111370943388841,nonTarget,01.12.2020
13,Pz,1,-1.3875509998451645,nonTarget,01.12.2020
13,Fz,2,0.9670930175208396,nonTarget,01.12.2020
13,Fc1,2,0.573390184299856,nonTarget,01.12.2020
13,Fc2,2,0.4957502911368535,nonTarget,01.12.2020
13,C3,2,0.3571484370688948,nonTarget,01.12.2020
13,Cz,2,0.102088780750597,nonTarget,01.12.2020
13,C4,2,0.1342680559505843,nonTarget,01.12.2020
13,Pz,2,-0.5341270584030434,nonTarget,01.12.2020
13,Fz,3,1.066164942157358,nonTarget,01.12.2020
13,Fc1,3,0.3130755213879707,nonTarget,01.12.2020
13,Fc2,3,0.8651262270216264,nonTarget,01.12.2020
13,C3,3,0.4278132359785384,nonTarget,01.12.2020
13,Cz,3,0.544630287704295,nonTarget,01.12.2020
13,C4,3,0.1881391977168251,nonTarget,01.12.2020
13,Pz,3,0.4184950744807588,nonTarget,01.12.2020
13,Fz,4,0.2949333772708323,nonTarget,01.12.2020
13,Fc1,4,1.0013148028739822,nonTarget,01.12.2020
13,Fc2,4,0.2861210370447334,nonTarget,01.12.2020
13,C3,4,0.8128991717337262,nonTarget,01.12.2020
13,Cz,4,0.5416575731427644,nonTarget,01.12.2020
13,C4,4,-0.2762949587652765,nonTarget,01.12.2020
13,Pz,4,0.143769270509274,nonTarget,01.12.2020
13,Fz,5,1.3758356787200767,nonTarget,01.12.2020
13,Fc1,5,0.2916687939153949,nonTarget,01.12.2020
13,Fc2,5,0.6245672048742767,nonTarget,01.12.2020
13,C3,5,-0.2313179878601044,nonTarget,01.12.2020
13,Cz,5,-0.228785928593979,nonTarget,01.12.2020
13,C4,5,0.043685894484208,nonTarget,01.12.2020
13,Pz,5,-0.4376533359159227,nonTarget,01.12.2020
13,Fz,6,-1.1115180523508128,nonTarget,01.12.2020
13,Fc1,6,-0.7369757188287431,nonTarget,01.12.2020
13,Fc2,6,-1.3807242534207311,nonTarget,01.12.2020
13,C3,6,-0.1710499311443717,nonTarget,01.12.2020
13,Cz,6,-1.3596185986044422,nonTarget,01.12.2020
13,C4,6,-1.0767421727303446,nonTarget,01.12.2020
13,Pz,6,-1.156515275469244,nonTarget,01.12.2020
14,Fz,1,0.8270003419701459,Target,03.12.2020
14,Fc1,1,1.7455238710268386,Target,03.12.2020
14,Fc2,1,2.49420520618628,Target,03.12.2020
14,C3,1,1.7343528792085467,Target,03.12.2020
14,Cz,1,1.7711799766505232,Target,03.12.2020
14,C4,1,1.814177473089882,Target,03.12.2020
14,Pz,1,0.8259198953565658,Target,03.12.2020
14,Fz,2,2.758091184621237,Target,03.12.2020
14,Fc1,2,4.205026159869734,Target,03.12.2020
14,Fc2,2,2.5278541214196566,Target,03.12.2020
14,C3,2,3.9291306621863216,Target,03.12.2020
14,Cz,2,3.374707728673211,Target,03.12.2020
14,C4,2,1.5424348667026764,Target,03.12.2020
14,Pz,2,2.6040290991310697,Target,03.12.2020
14,Fz,3,1.990736320611345,Target,03.12.2020
14,Fc1,3,1.7425975080495877,Target,03.12.2020
