Accuracy,Classifier,Session,Ep2Avg
0.6666666666666666,SWLDA,27,8
0.16666666666666666,SWLDA,28,1
0.16666666666666666,SWLDA,28,2
0.2777777777777778,SWLDA,28,3
0.4444444444444444,SWLDA,28,4
0.5,SWLDA,28,5
0.3888888888888889,SWLDA,28,6
0.5555555555555556,SWLDA,28,7
0.6111111111111112,SWLDA,28,8
0.2222222222222222,SWLDA,29,1
0.3333333333333333,SWLDA,29,2
0.5555555555555556,SWLDA,29,3
0.5555555555555556,SWLDA,29,4
0.6666666666666666,SWLDA,29,5
0.7777777777777778,SWLDA,29,6
0.7777777777777778,SWLDA,29,7
0.7777777777777778,SWLDA,29,8
0.2222222222222222,SWLDA,30,1
0.2222222222222222,SWLDA,30,2
0.3888888888888889,SWLDA,30,3
0.5555555555555556,SWLDA,30,4
0.5555555555555556,SWLDA,30,5
0.4444444444444444,SWLDA,30,6
0.6111111111111112,SWLDA,30,7
0.6666666666666666,SWLDA,30,8
0.3333333333333333,SWLDA,31,1
0.2777777777777778,SWLDA,31,2
0.5555555555555556,SWLDA,31,3
0.6111111111111112,SWLDA,31,4
0.6666666666666666,SWLDA,31,5
0.7222222222222222,SWLDA,31,6
0.8333333333333334,SWLDA,31,7
0.7777777777777778,SWLDA,31,8
0.16666666666666666,SWLDA,33,1
0.2777777777777778,SWLDA,33,2
0.3333333333333333,SWLDA,33,3
0.3333333333333333,SWLDA,33,4
0.5,SWLDA,33,5
0.5555555555555556,SWLDA,33,6
0.6111111111111112,SWLDA,33,7
0.6111111111111112,SWLDA,33,8
0.2777777777777778,SWLDA,34,1
0.4444444444444444,SWLDA,34,2
0.5555555555555556,SWLDA,34,3
0.6666666666666666,SWLDA,34,4
0.6666666666666666,SWLDA,34,5
0.8333333333333334,SWLDA,34,6
0.7777777777777778,SWLDA,34,7
0.7777777777777778,SWLDA,34,8
0.2222222222222222,SWLDA,35,1
0.4444444444444444,SWLDA,35,2
0.5555555555555556,SWLDA,35,3
0.7222222222222222,SWLDA,35,4
0.6666666666666666,SWLDA,35,5
0.6111111111111112,SWLDA,35,6
0.7777777777777778,SWLDA,35,7
0.7777777777777778,SWLDA,35,8
0.3333333333333333,SWLDA,36,1
0.2777777777777778,SWLDA,36,2
0.4444444444444444,SWLDA,36,3
0.5,SWLDA,36,4
0.6111111111111112,SWLDA,36,5
0.6111111111111112,SWLDA,36,6
0.6666666666666666,SWLDA,36,7
0.6666666666666666,SWLDA,36,8
0.16666666666666666,SWLDA,37,1
0.3888888888888889,SWLDA,37,2
0.5,SWLDA,37,3
0.5555555555555556,SWLDA,37,4
0.7222222222222222,SWLDA,37,5
0.7777777777777778,SWLDA,37,6
0.8333333333333334,SWLDA,37,7
0.8888888888888888,SWLDA,37,8
0.2777777777777778,SWLDA,38,1
0.3333333333333333,SWLDA,38,2
0.4444444444444444,SWLDA,38,3
0.5,SWLDA,38,4
0.6666666666666666,SWLDA,38,5
0.6666666666666666,SWLDA,38,6
0.6111111111111112,SWLDA,38,7
0.6666666666666666,SWLDA,38,8
0.16666666666666666,SWLDA,39,1
0.2222222222222222,SWLDA,39,2
